Idiom,Sense,Idiomatic_Sent,Literal_Sent,Idiomatic_Label,Literal_Label
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",The project ran out of steam quite early on and then for it to take of was obviously quite difficult .,The project stalled quite early on and then for it to take of was obviously quite difficult .,O O B I O I O O O O O O O O O O O O O O O,O O B O O O O O O O O O O O O O O O
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",The lawyer ran out of steam in his argument in the first phase of the case and so it was not a surprise that he lost .,The lawyer stagnated in his argument in the first phase of the case and so it was not a surprise that he lost .,O O B I O I O O O O O O O O O O O O O O O O O O O O O,O O B O O O O O O O O O O O O O O O O O O O O O
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",The politician run out of steam to take any action as soon as the elections get over and I have seen it happen over and over again .,The politician slowly fails to take any action as soon as the elections get over and I have seen it happen over and over again .,O O B I I I O O O O O O O O O O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O O O O O O O O O O
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",How can you run out of steam on such an important project ? This could be the biggest thing on your resume .,How can you stall on such an important project ? This could be the biggest thing on your resume .,O O O B I I I O O O O O O O O O O O O O O O O,O O O B O O O O O O O O O O O O O O O O
run out of steam,"to no longer have the energy or the desire to continue doing something, especially because you are tired",The vehicle ran out of steam and is not even a surprise given how old it is .,The vehicle has lost its initial effect and is not even a surprise given how old it is .,O O B I I I O O O O O O O O O O O O,O O B I I I I O O O O O O O O O O O O
pin money,A small sum paid for a small service.,I used to odd jobs when I was in high school to earn pin money .,I used to odd jobs when I was in high school to earn some side money .,O O O O O O O O O O O O O B O O,O O O O O O O O O O O O O B I O O
pin money,A small sum paid for a small service.,My niece will babysit for you for pin money .,My niece will babysit for you for a little bit of money .,O O O O O O O B O O,O O O O O O O B I I I O O
pin money,A small sum paid for a small service.,You ca n't buy such a thing with pin money .,You ca n't buy such a thing with such little money .,O O O O O O O O B O O,O O O O O O O O O B O O
pin money,A small sum paid for a small service.,The earning from this job is pin money but at least you get a good looking resume when you 've survived here for a year .,The earning from this job is not great but at least you get a good looking resume when you 've survived here for a year .,O O O O O O B I O O O O O O O O O O O O O O O O O O,O O O O O O B I O O O O O O O O O O O O O O O O O O
sit on the fence,delay or avoid making a decision or choice,Has he decided which offer he is going to accept or is he still sitting on the fence ?,Has he decided which offer he is going to accept or is he still deciding ?,O O O O O O O O O O O O O O B I I I O,O O O O O O O O O O O O O O B O
sit on the fence,delay or avoid making a decision or choice,"Instead of sitting on the fence , why do n't you list out the pros and cons so that you can reach a decision .","Instead of delaying your decision , why do n't you list out the pros and cons so that you can reach a decision .",O O B I O I O O O O O O O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O O O O O O O O
sit on the fence,delay or avoid making a decision or choice,It would be good if you stop sitting on the fence and choose whose side you are on .,It would be good if you stop not choosing a side and choose whose side you are on .,O O O O O O O B O I I O O O O O O O O,O O O O O O O B I I O O O O O O O O O
sit on the fence,delay or avoid making a decision or choice,"He did not want to say no to either of them , so he was just sitting on the fence .","He did not want to say no to either of them , so he was just sitting idle .",O O O O O O O O O O O O O O O O O B I I O,O O O O O O O O O O O O O O O O O B O
sit on the fence,delay or avoid making a decision or choice,"She did not know whether to say yes or no to the proposal , she was sitting on the fence .","She did not know whether to say yes or no to the proposal , she was indecisive .",O O O O O O O O O O O O O O O O B I O I O,O O O O O O O O O O O O O O O O B O
sit on the fence,delay or avoid making a decision or choice,"When two heavyweights have an argument , its best to sit on the fence and not make either of the turn against you .","When two heavyweights have an argument , its best to sit and watch and not make either of the turn against you .",O O O O O O O O O O O B O I O O O O O O O O O O,O O O O O O O O O O O O B O O O O O O O O O O
filthy rich,"Someone who is rich beyond measure.,",His father is filthy rich so obviously he is not worried about choosing the right university .,His father is extremely rich so obviously he is not worried about choosing the right university .,O O O B O O O O O O O O O O O O O,O O O B O O O O O O O O O O O O O
filthy rich,"Someone who is rich beyond measure.,",This woman is filthy rich and can well afford to compensate you .,This woman is rich beyond measure and can well afford to compensate you .,O O O B O O O O O O O O O,O O O O B I O O O O O O O O
filthy rich,"Someone who is rich beyond measure.,","In spite of being filthy rich , friends say he does not exactly lavish her with gifts .","In spite of being extremely well off , friends say he does not exactly lavish her with gifts .",O O O O B I O O O O O O O O O O O O,O O O O B I I O O O O O O O O O O O O
head and shoulders above,to be much better than other people,"If you train harder and longer than everybody else , you 'll be head and shoulders above the competition by the time the race comes around .","If you train harder and longer than everybody else , you 'll be having an advantage above the competition by the time the race comes around .",O O O O O O O O O O O O O B O I O O O O O O O O O O O,O O O O O O O O O O O O O B I I O O O O O O O O O O O
head and shoulders above,to be much better than other people,"In the race for the presidency , the democratic candidate was head and shoulders above the republican candidate .","In the race for the presidency , the democratic candidate was on a level above the republican candidate .",O O O O O O O O O O O B I I O O O O O,O O O O O O O O O O O B I I O O O O O
head and shoulders above,to be much better than other people,There 's no competition ; our team is simply head and shoulders above the rest .,There 's no competition ; our team is simply way out ahead of the race .,O O O O O O O O O B I I I O I O,O O O O O O O O O B I I I O I O
head and shoulders above,to be much better than other people,You are head and shoulders above the other applicants and You will definitely get the job .,You are significantly better than the other applicants and You will definitely get the job .,O O B O I I O O O O O O O O O O O,O O B I I O O O O O O O O O O O
head and shoulders above,to be much better than other people,"If you want to be head and shoulders above the rest , you must work very hard .","If you want to be having an advantage above the rest , you must work very hard .",O O O O O B I I O O O O O O O O O O,O O O O O B I I O O O O O O O O O O
go after,to pursue somebody or something,"Seeing that she was upset when she left , Harry decided to go after his girlfriend .","Seeing that she was upset when she left , Harry decided to catch up to his girlfriend .",O O O O O O O O O O O O B I O O O,O O O O O O O O O O O O B I O O O O
go after,to pursue somebody or something,I begged him to go after his brother just to make sure that he was okay .,I begged him to catch up with his brother just to make sure that he was okay .,O O O O B I O O O O O O O O O O O,O O O O B I I O O O O O O O O O O O
go after,to pursue somebody or something,It is very inspiring to see young people going after the careers of their choice with so much zeal and ambition .,It is very inspiring to see young people pursuing the careers of their choice with so much zeal and ambition .,O O O O O O O O B I O O O O O O O O O O O O,O O O O O O O O B O O O O O O O O O O O O
go after,to pursue somebody or something,I love going after things that make me happy and leave me feeling fulfilled .,I love pursuing things that make me happy and leave me feeling fulfilled .,O O B I O O O O O O O O O O O,O O B O O O O O O O O O O O
ride high,to be quite excited and happy,Someone is clearly riding high !,Someone is clearly at a high point in their life !,O O O B O O,O O O B I O I I I I O
ride high,to be quite excited and happy,She 's been riding high ever since the news came through !,She 's been excited ever since the news came through !,O O O B I O O O O O O O,O O O B O O O O O O O
ride high,to be quite excited and happy,"Girl , do n't ride so high already !","Girl , do n't be so eager already !",O O O O B O I O O,O O O O B O I O O
ride high,being popular and doing quite well in their life,"Ever since that promotion , she 's been doing quite well in her life .","Ever since that promotion , she 's been riding high .",O O O O O O O O B I I I I I O,O O O O O O O O B I O
ride high,being popular and doing quite well in their life,I felt happy and popular after that weekend .,I really rode high after that weekend .,O B I I I O O O O,O B I I O O O O
ride high,to be quite excited and happy,"Now that the elections are almost here , supporter really seem to be riding high !","Now that the elections are almost here , supporters really seem to be excited !",O O O O O O O O B O O O O I I O,O O O O O O O O B O O O O I O
on one's uppers,extremely short of money,It is good that you want to follow your passion & be a dancer but you must remember that during one phase you 'll be on your uppers .,It is good that you want to follow your passion & be a dancer but you must remember that during one phase you 'll be short on cash .,O O O O O O O O O O O O O O O O O O O O O O O O O O O B O,O O O O O O O O O O O O O O O O O O O O O O O O O B O I O
on one's uppers,extremely short of money,When I decided to go to a private university I knew I would be on my uppers trying to pay for it .,When I decided to go to a private university I knew I would be making ends meet trying to pay for it .,O O O O O O O O O O O O O O B I I O O O O O O,O O O O O O O O O O O O O O B I I O O O O O O
on one's uppers,extremely short of money,I feel like everyone will be on their upper 's at one point before things start looking good after graduating during the pandemic .,I feel like everyone will be struggling financially at one point before things start looking good after graduating during the pandemic .,O O O O O O B I I I O O O O O O O O O O O O O O,O O O O O O B I O O O O O O O O O O O O O O
on one's uppers,extremely short of money,Derek was on his uppers right after college ended but he is now the owner of a successful tech company .,Derek was extremely broke right after college ended but he is now the owner of a successful tech company .,O O B I I O O O O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O O O O
on one's uppers,extremely short of money,He helped his friend who was on his uppers & had no money to record his album .,He helped his friend who had no money to record his album .,O O O O O B I O I I O O O O O O O O,O O O O O O O O O O O O O
on the ball,understands the situation well,"When his opponent tried to sneak in a pass , the defender was right on the ball and stopped it well .","When his opponent tried to sneak in a pass , the defender was right there and stopped it well .",O O O O O O O O O O O O O O B O I O O O O O,O O O O O O O O O O O O O O B O O O O O
on the ball,understands the situation well,We would n't have failed the assignment if you been on the ball .,We would n't have failed the assignment if you been on top of your stuff .,O O O O O O O O O O O O B O,O O O O O O O O O O O B I I I O
